C:\mbw\results\A05_578.txt												
RUN INFORMATION:												
================												
Counting protocol no:  5                                  Thu  9-Nov-2023  4:14												
Name: 3H_2MIN												
CPM normalization protocol no: 91												
												
												
COLUMNS:												
========												
 	SAMPLE	POS	CCPM1	CCPM1%								
 	Unk_317	C05	3950	3.5								
 	Unk_318	C06	7294	3.1								
 	Unk_319	C07	7910	3.1								
 	Unk_320	C08	8023	3.1								
 	Unk_321	C09	8129	3.1								
 	Unk_322	C10	7774	3.1								
 	Unk_323	C11	7892	3.1								
 	Unk_324	C12	7972	3.1								
 	Unk_325	D01	7314	3.1								
 	Unk_326	D02	25	28.4								
 	Unk_327	D03	226	9.9								
 	Unk_328	D04	792	5.7								
 	Unk_329	D05	3130	3.7								
 	Unk_330	D06	6650	3.1								
 	Unk_331	D07	7522	3.1								
 	Unk_332	D08	7874	3.1								
 	Unk_333	D09	7409	3.1								
 	Unk_334	D10	7557	3.1								
 	Unk_335	D11	7755	3.1								
 	Unk_336	D12	7777	3.1								
 	Unk_337	E01	7420	3.1								
 	Unk_338	E02	22	30.6								
 	Unk_339	E03	57	19.1								
 	Unk_340	E04	212	10.1								
 	Unk_341	E05	499	6.8								
 	Unk_342	E06	1848	4.2								
 	Unk_343	E07	4156	3.4								
 	Unk_344	E08	6780	3.1								
 	Unk_345	E09	7428	3.1								
 	Unk_346	E10	7657	3.1								
 	Unk_347	E11	7684	3.1								
 	Unk_348	E12	8243	3								
 	Unk_349	F01	7405	3.1								
 	Unk_350	F02	20	31.7								
 	Unk_351	F03	64	17.9								
 	Unk_352	F04	179	10.9								
 	Unk_353	F05	519	6.7								
 	Unk_354	F06	1772	4.2								
 	Unk_355	F07	4088	3.4								
 	Unk_356	F08	6237	3.1								
 	Unk_357	F09	7443	3.1								
 	Unk_358	F10	7864	3.1								
 	Unk_359	F11	7895	3								
 	Unk_360	F12	8240	3								
 	Unk_361	G01	7384	3.1								
 	Unk_362	G02	24	29.3								
 	Unk_363	G03	472	7.1								
 	Unk_364	G04	1609	4.4								
 	Unk_365	G05	3746	3.5								
 	Unk_366	G06	6552	3.1								
 	Unk_367	G07	7532	3.1								
 	Unk_368	G08	7745	3								
 	Unk_369	G09	7550	3.1								
 	Unk_370	G10	7562	3.1								
 	Unk_371	G11	7617	3.1								
 	Unk_372	G12	7877	3								
 	Unk_373	H01	7016	3.1								
 	Unk_374	H02	24	29								
 	Unk_375	H03	528	6.7								
 	Unk_376	H04	1867	4.2								
 	Unk_377	H05	3742	3.5								
 	Unk_378	H06	6507	3.1								
 	Unk_379	H07	7249	3.1								
 	Unk_380	H08	7497	3.1								
 	Unk_381	H09	7603	3.1								
 	Unk_382	H10	7493	3.1								
 	Unk_383	H11	7731	3.1								
 	Unk_384	H12	7697	3.1								
 	Unk_385	A01	1266	4.8								
 	Unk_386	A02	21	31.3								
 	Unk_387	A03	48	20.7								
 	Unk_388	A04	79	16.3								
 	Unk_389	A05	138	12.5								
 	Unk_390	A06	191	10.7								
 	Unk_391	A07	461	7.2								
 	Unk_392	A08	894	5.5								
 	Unk_393	A09	1131	5								
 	Unk_394	A10	1189	4.9								
 	Unk_395	A11	1262	4.8								
 	Unk_396	A12	1243	4.8								
 	Unk_397	B01	1227	4.8								
 	Unk_398	B02	18	33.9								
 	Unk_399	B03	40	22.8								
 	Unk_400	B04	89	15.3								
 	Unk_401	B05	144	12.3								
 	Unk_402	B06	352	8.1								
 	Unk_403	B07	656	6.2								
 	Unk_404	B08	868	5.5								
 	Unk_405	B09	1101	5								
 	Unk_406	B10	1196	4.9								
 	Unk_407	B11	1172	4.9								
 	Unk_408	B12	1275	4.8								
 	Unk_409	C01	1344	4.7								
 	Unk_410	C02	22	30.6								
 	Unk_411	C03	88	15.5								
 	Unk_412	C04	286	8.8								
 	Unk_413	C05	519	6.8								
 	Unk_414	C06	869	5.5								
 	Unk_415	C07	1159	5								
 	Unk_416	C08	1292	4.8								
 	Unk_417	C09	1265	4.8								
 	Unk_418	C10	1259	4.8								
 	Unk_419	C11	1291	4.8								
 	Unk_420	C12	1317	4.7								
 	Unk_421	D01	1271	4.8								
 	Unk_422	D02	27	27.9								
 	Unk_423	D03	89	15.3								
 	Unk_424	D04	242	9.5								
 	Unk_425	D05	526	6.8								
 	Unk_426	D06	902	5.4								
 	Unk_427	D07	1186	4.9								
 	Unk_428	D08	1200	4.9								
 	Unk_429	D09	1278	4.8								
 	Unk_430	D10	1330	4.7								
 	Unk_431	D11	1333	4.7								
 	Unk_432	D12	1226	4.8								
 	Unk_433	E01	1213	4.8								
 	Unk_434	E02	11	43.7								
 	Unk_435	E03	80	16.2								
 	Unk_436	E04	246	9.4								
 	Unk_437	E05	484	6.9								
 	Unk_438	E06	946	5.3								
 	Unk_439	E07	1195	4.8								
 	Unk_440	E08	1297	4.7								
 	Unk_441	E09	1322	4.7								
 	Unk_442	E10	1225	4.8								
 	Unk_443	E11	1327	4.7								
 	Unk_444	E12	1301	4.7								
 	Unk_445	F01	1294	4.7								
 	Unk_446	F02	18	33.9								
 	Unk_447	F03	66	17.7								
 	Unk_448	F04	222	9.9								
 	Unk_449	F05	464	7.1								
 	Unk_450	F06	853	5.5								
 	Unk_451	F07	1062	5.1								
 	Unk_452	F08	1278	4.7								
 	Unk_453	F09	1188	4.9								
 	Unk_454	F10	1289	4.7								
 	Unk_455	F11	1354	4.7								
 	Unk_456	F12	1232	4.8								
 	Unk_457	G01	1281	4.8								
 	Unk_458	G02	18	33.4								
 	Unk_459	G03	22	30.3								
 	Unk_460	G04	39	22.9								
 	Unk_461	G05	128	12.8								
 	Unk_462	G06	244	9.4								
 	Unk_463	G07	479	7								
 	Unk_464	G08	833	5.5								
 	Unk_465	G09	1044	5.1								
 	Unk_466	G10	1315	4.7								
 	Unk_467	G11	1322	4.7								
 	Unk_468	G12	1296	4.7								
 	Unk_469	H01	1146	4.9								
 	Unk_470	H02	17	34.4								
 	Unk_471	H03	18	33.9								
 	Unk_472	H04	32	25.3								
 	Unk_473	H05	75	16.6								
 	Unk_474	H06	187	10.7								
 	Unk_475	H07	371	7.8								
 	Unk_476	H08	696	6								
 	Unk_477	H09	1012	5.2								
 	Unk_478	H10	1074	5.1								
 	Unk_479	H11	1238	4.8								
 	Unk_480	H12	1233	4.8								
 	Unk_481	A01	1336	4.7								
 	Unk_482	A02	28	27.1								
 	Unk_483	A03	16	35.5								
 	Unk_484	A04	23	29.9								
 	Unk_485	A05	53	19.9								
 	Unk_486	A06	139	12.4								
 	Unk_487	A07	400	7.6								
 	Unk_488	A08	869	5.5								
 	Unk_489	A09	1066	5.1								
 	Unk_490	A10	1162	4.9								
 	Unk_491	A11	1320	4.7								
 	Unk_492	A12	1302	4.7								
 	Unk_493	B01	1403	4.6								
 	Unk_494	B02	27	27.9								
 	Unk_495	B03	15	36.6								
 	Unk_496	B04	35	24.2								
 	Unk_497	B05	62	18.4								
 	Unk_498	B06	173	11.2								
 	Unk_499	B07	401	7.6								
 	Unk_500	B08	831	5.6								
 	Unk_501	B09	1050	5.1								
 	Unk_502	B10	1193	4.9								
 	Unk_503	B11	1245	4.8								
 	Unk_504	B12	1220	4.9								
 	Unk_505	C01	1303	4.7								
 	Unk_506	C02	20	32.1								
 	Unk_507	C03	49	20.6								
 	Unk_508	C04	189	10.7								
 	Unk_509	C05	491	7								
 	Unk_510	C06	842	5.6								
 	Unk_511	C07	1071	5.1								
 	Unk_512	C08	1241	4.8								
 	Unk_513	C09	1265	4.8								
 	Unk_514	C10	1212	4.9								
 	Unk_515	C11	1305	4.7								
 	Unk_516	C12	1244	4.8								
 	Unk_517	D01	1253	4.8								
 	Unk_518	D02	24	29								
 	Unk_519	D03	51	20.2								
 	Unk_520	D04	212	10.2								
 	Unk_521	D05	459	7.2								
 	Unk_522	D06	882	5.5								
 	Unk_523	D07	1128	5								
 	Unk_524	D08	1276	4.8								
 	Unk_525	D09	1212	4.9								
 	Unk_526	D10	1282	4.8								
 	Unk_527	D11	1299	4.7								
 	Unk_528	D12	1189	4.9								
 	Unk_529	E01	1261	4.8								
 	Unk_530	E02	20	31.7								
 	Unk_531	E03	78	16.3								
 	Unk_532	E04	171	11.2								
 	Unk_533	E05	361	7.9								
 	Unk_534	E06	697	6								
 	Unk_535	E07	1020	5.1								
 	Unk_536	E08	1262	4.7								
 	Unk_537	E09	1211	4.8								
 	Unk_538	E10	1477	4.5								
 	Unk_539	E11	1274	4.8								
 	Unk_540	E12	1248	4.8								
 	Unk_541	F01	1256	4.8								
 	Unk_542	F02	20	32.1								
 	Unk_543	F03	72	17								
 	Unk_544	F04	203	10.3								
 	Unk_545	F05	367	7.8								
 	Unk_546	F06	687	6								
 	Unk_547	F07	1087	5								
 	Unk_548	F08	1216	4.8								
 	Unk_549	F09	1238	4.8								
 	Unk_550	F10	1349	4.7								
 	Unk_551	F11	1384	4.6								
 	Unk_552	F12	1274	4.8								
 	Unk_553	G01	1334	4.7								
 	Unk_554	G02	23	29.9								
 	Unk_555	G03	267	9.1								
 	Unk_556	G04	609	6.3								
 	Unk_557	G05	907	5.4								
 	Unk_558	G06	1264	4.7								
 	Unk_559	G07	1236	4.8								
 	Unk_560	G08	1251	4.8								
 	Unk_561	G09	1049	5.1								
 	Unk_562	G10	1318	4.7								
 	Unk_563	G11	1366	4.6								
 	Unk_564	G12	1294	4.7								
 	Unk_565	H01	1190	4.9								
 	Unk_566	H02	16	35.5								
 	Unk_567	H03	239	9.6								
 	Unk_568	H04	551	6.6								
 	Unk_569	H05	816	5.6								
 	Unk_570	H06	1149	4.9								
 	Unk_571	H07	1245	4.8								
 	Unk_572	H08	1268	4.7								
 	Unk_573	H09	1267	4.8								
 	Unk_574	H10	1361	4.6								
 	Unk_575	H11	1300	4.7								
 	Unk_576	H12	1195	4.9								
 	Unk_577	A01	5	66.7								
 	Unk_578	A02	5	66.7								
 	Unk_579	A03	4	75.6								
 	Unk_580	A04	8	51.7								
 	Unk_581	A05	4	70.8								
 	Unk_582	A06	6	60.4								
 	Unk_583	A07	7	55.5								
 	Unk_584	A08	6	57.8								
 	Unk_585	A09	2	100								
 	Unk_586	A10	4	70.8								
 	Unk_587	A11	3	81.7								
 	Unk_588	A12	3	89.5								
 	Unk_589	B01	5	66.7								
 	Unk_590	B02	6	57.8								
 	Unk_591	B03	6	57.8								
 	Unk_592	B04	4	70.8								
 	Unk_593	B05	7	55.5								
 	Unk_594	B06	7	55.5								
 	Unk_595	B07	3	81.7								
 	Unk_596	B08	3	81.7								
 	Unk_597	B09	3	81.7								
 	Unk_598	B10	4	75.6								
 	Unk_599	B11	1	200								
 	Unk_600	B12	2	115.5								
 	Unk_601	C01	6	57.8								
 	Unk_602	C02	6	60.4								
 	Unk_603	C03	4	75.6								
 	Unk_604	C04	6	60.4								
 	Unk_605	C05	8	51.7								
 	Unk_606	C06	4	70.8								
 	Unk_607	C07	983	5.3								
 	Unk_608	C08	1075	5.1								
 	Unk_609	C09	1039	5.1								
 	Unk_610	C10	3	81.7								
 	Unk_611	C11	3	89.5								
 	Unk_612	C12	4	75.6								
 	Unk_613	D01	7	55.5								
 	Unk_614	D02	4	70.8								
 	Unk_615	D03	3	89.5								
 	Unk_616	D04	7	55.5								
 	Unk_617	D05	7	53.5								
 	Unk_618	D06	6	57.8								
 	Unk_619	D07	1676	4.4								
 	Unk_620	D08	1651	4.4								
 	Unk_621	D09	1686	4.4								
 	Unk_622	D10	3	89.5								
 	Unk_623	D11	2	115.5								
 	Unk_624	D12	2	100								
 	Unk_625	E01	7	53.5								
 	Unk_626	E02	6	60.4								
 	Unk_627	E03	5	63.3								
 	Unk_628	E04	7	55.5								
 	Unk_629	E05	8	51.7								
 	Unk_630	E06	5	66.7								
 	Unk_631	E07	2389	3.9								
 	Unk_632	E08	2474	3.8								
 	Unk_633	E09	2397	3.9								
 	Unk_634	E10	2	100								
 	Unk_635	E11	3	81.7								
 	Unk_636	E12	5	63.3								
 	Unk_637	F01	8	51.7								
 	Unk_638	F02	7	53.5								
 	Unk_639	F03	4	75.6								
 	Unk_640	F04	6	57.8								
 	Unk_641	F05	5	66.7								
 	Unk_642	F06	5	66.7								
 	Unk_643	F07	3	89.5								
 	Unk_644	F08	2	115.5								
 	Unk_645	F09	6	60.4								
 	Unk_646	F10	3	81.7								
 	Unk_647	F11	2	115.5								
 	Unk_648	F12	6	57.8								
 	Unk_649	G01	8	50.1								
 	Unk_650	G02	8	50.1								
 	Unk_651	G03	5	63.3								
 	Unk_652	G04	7	53.5								
 	Unk_653	G05	6	60.4								
 	Unk_654	G06	5	66.7								
 	Unk_655	G07	4	70.8								
 	Unk_656	G08	8	51.7								
 	Unk_657	G09	5	66.7								
 	Unk_658	G10	4	70.8								
 	Unk_659	G11	8	50.1								
 	Unk_660	G12	7	55.5								
 	Unk_661	H01	6	60.4								
 	Unk_662	H02	3	89.5								
